feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,celltype,neglogp,sig
4930483J18Rik,Null,3.939406571025368e-4,3.939406571025368e-4,118097.5,0.5010288065843621,0.31880774568515696,1,0.205761316872428,0,Recruited macrophage,-0,FALSE
Mchr1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
8430426J06Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Slc25a17,Null,0.15811505640031612,-0.04917333718903252,107320,0.4553052479742056,0.0034992873325964497,0.18735174964169582,27.36625514403292,36.08247422680412,Recruited macrophage,0.7273422467592108,FALSE
St13,Null,0.6101372884706774,-0.10024042221822116,103220.5,0.43791311357176194,7.520210955295312e-4,0.06688430046603558,73.04526748971193,80.82474226804123,Recruited macrophage,1.1746758107989332,FALSE
Xpnpep3,Null,0.033945223895062646,0.0012939197367778377,118727,0.5036994612023249,0.637888004160146,1,6.790123456790123,5.979381443298969,Recruited macrophage,-0,FALSE
Dnajb7,Null,0,-8.575196106727124e-4,117612,0.49896907216494846,0.31780890276417706,1,0,0.2061855670103093,Recruited macrophage,-0,FALSE
Gm17025,Null,0.003450796958333696,0.0014020733287273628,118095.5,0.5010203215816045,0.6577222333002892,1,0.6172839506172839,0.4123711340206186,Recruited macrophage,-0,FALSE
Rbx1,Null,1.531451442029839,0.05539418996963419,126873.5,0.5382609986848246,0.03903068406340571,0.7279365952926108,98.35390946502058,97.31958762886597,Recruited macrophage,0.13790644694210644,FALSE
Ep300,Null,0.4421434843490263,0.032294826995407255,121703.5,0.5163272665563616,0.35963021613985957,1,57.61316872427984,57.73195876288659,Recruited macrophage,-0,FALSE
L3mbtl2,Null,0.05175246251658996,-0.01572474731386702,113865,0.48307241949853635,0.10503338601477602,1,10.2880658436214,13.608247422680412,Recruited macrophage,-0,FALSE
Chadl,Null,0.002442219110540373,-1.1495052303751646e-4,118096,0.5010224428322939,0.5669229942635001,1,0.411522633744856,0.2061855670103093,Recruited macrophage,-0,FALSE
Rangap1,Null,0.16522535202661964,-0.011607271986090961,114552,0.4859870179457808,0.3446335437793075,1,27.160493827160494,30.515463917525775,Recruited macrophage,-0,FALSE
Zc3h7b,Null,0.03958928404072522,0.011045717407769003,119616.5,0.507473166178779,0.34519685709340125,1,7.20164609053498,5.77319587628866,Recruited macrophage,-0,FALSE
Gm17597,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Tef,Null,0.03200900132010131,-0.01428721910473607,115332,0.48929616902125495,0.20379419747126937,1,6.378600823045268,8.45360824742268,Recruited macrophage,-0,FALSE
Tob2,Null,0.19556805660177,-0.018687115041439217,116812.5,0.4955771923125875,0.7734016986487704,1,31.893004115226336,32.16494845360825,Recruited macrophage,-0,FALSE
Gm49476,Null,0.0015431554705599676,0.0015431554705599676,118097.5,0.5010288065843621,0.31880774568515696,1,0.205761316872428,0,Recruited macrophage,-0,FALSE
Phf5a,Null,0.39368426724326266,0.016678761514843876,119929.5,0.5088010691103475,0.6195077494887091,1,56.37860082304527,55.25773195876289,Recruited macrophage,-0,FALSE
Aco2,Null,0.4971294914579506,0.015214673873028717,120519,0.5113020236731577,0.5335464078979778,1,64.40329218106996,66.39175257731958,Recruited macrophage,-0,FALSE
Polr3h,Null,0.027229626296357227,-0.0026711756614343288,116796,0.4955071910398371,0.5615897523334359,1,5.761316872427984,6.5979381443298974,Recruited macrophage,-0,FALSE
Csdc2,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Pmm1,Null,0.10808521120263323,3.8426624458193226e-4,117170,0.4970938865555131,0.8224922424232932,1,19.54732510288066,20.412371134020617,Recruited macrophage,-0,FALSE
1700029P11Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Xrcc6,Null,0.03252572301671387,-0.01620097407628803,114868,0.48732764838148573,0.1422286181567982,1,6.584362139917696,9.072164948453608,Recruited macrophage,-0,FALSE
Desi1,Null,0.11144113314898475,0.0015906848938118945,116672.5,0.4949832421195537,0.7007537432370852,1,19.753086419753085,21.030927835051546,Recruited macrophage,-0,FALSE
Snu13,Null,0.843443151848486,0.09739308234546162,129421,0.5490687709473505,0.007935826647034284,0.30943014891244186,84.36213991769547,79.38144329896907,Recruited macrophage,0.5094373736734514,FALSE
4930407I10Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Mei1,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Ccdc134,Null,0.033496186662452354,-0.00349410702711115,117350,0.4978575368036995,0.7820350502055093,1,5.967078189300412,6.391752577319587,Recruited macrophage,-0,FALSE
Srebf2,Null,0.19233258208377846,-0.013555774063036125,114745.5,0.48680794196258115,0.3888011243988838,1,30.246913580246915,33.19587628865979,Recruited macrophage,-0,FALSE
Shisa8,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Tnfrsf13c,Null,0.0204622023936008,0.010955778784584792,120029.5,0.5092253192482288,0.0483128914276942,0.7869736123830007,3.0864197530864197,1.2371134020618557,Recruited macrophage,0.10403982950698491,FALSE
Gm49503,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Cenpm,Null,0.008226470567471578,0.0014597118770292815,118568,0.5030249034830936,0.47289373829076803,1,2.05761316872428,1.443298969072165,Recruited macrophage,-0,FALSE
1500009C09Rik,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Sept3,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Wbp2nl,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Naga,Null,0.2667690795456609,-0.03153970113739979,111840.5,0.47448347545712954,0.13170303227742927,1,42.592592592592595,47.42268041237113,Recruited macrophage,-0,FALSE
Pheta2,Null,0.008945546405200825,-0.003432298051380272,116884,0.49588053116117264,0.36663832054199624,1,1.646090534979424,2.4742268041237114,Recruited macrophage,-0,FALSE
